Level,Run,TimeSeconds,CPUSeconds,MaxMemoryMB
explore_black_cells,42,2.995086193084717,2.921875,15.31640625
explore_black_cells,43,3.008981227874756,2.90625,15.31640625
explore_black_cells,44,2.964763879776001,2.90625,15.54296875
explore_black_cells,45,3.001795768737793,2.921875,15.4140625
explore_black_cells,46,2.983447790145874,2.90625,15.359375
explore_black_cells,47,2.9531662464141846,2.90625,15.3203125
explore_black_cells,48,2.963226556777954,2.890625,15.3203125
explore_black_cells,49,2.9996988773345947,2.890625,15.19921875
explore_black_cells,50,2.9638679027557373,2.90625,15.33203125
gg_1,1,0.02772998809814453,0.0,1.99609375
gg_1,2,0.01834893226623535,0.0,1.9609375
gg_1,3,0.02769184112548828,0.0,1.953125
gg_1,4,0.02681136131286621,0.0,1.95703125
gg_1,5,0.018480539321899414,0.0,1.9609375
gg_1,6,0.026242733001708984,0.0,1.953125
gg_1,7,0.0261838436126709,0.0,1.9609375
gg_1,8,0.027592182159423828,0.0,1.9609375
gg_1,9,0.028554439544677734,0.0,1.9609375
gg_1,10,0.026293516159057617,0.0,1.99609375
gg_1,11,0.02770066261291504,0.0,1.9609375
gg_1,12,0.017032384872436523,0.0,1.99609375
gg_1,13,0.035654544830322266,0.0,1.9609375
gg_1,14,0.02489638328552246,0.0,1.9609375
gg_1,15,0.02619457244873047,0.0,1.9609375
gg_1,16,0.030345439910888672,0.0,1.9609375
gg_1,17,0.028183698654174805,0.0,1.95703125
gg_1,18,0.026935100555419922,0.0,1.953125
gg_1,19,0.02642345428466797,0.0,1.9609375
gg_1,20,0.026217937469482422,0.0,1.9609375
gg_1,21,0.01907205581665039,0.0,1.953125
gg_1,22,0.02736949920654297,0.0,1.953125
gg_1,23,0.021612167358398438,0.0,1.94140625
gg_1,24,0.027428627014160156,0.0,1.953125
gg_1,25,0.026513099670410156,0.0,1.9609375
gg_1,26,0.029268741607666016,0.0,1.9609375
gg_1,27,0.028096675872802734,0.0,1.9609375
gg_1,28,0.026400089263916016,0.0,1.94140625
gg_1,29,0.027436494827270508,0.0,1.953125
gg_1,30,0.017942428588867188,0.0,1.953125
gg_1,31,0.02113199234008789,0.0,1.9609375
gg_1,32,0.02365398406982422,0.0,1.953125
gg_1,33,0.02458977699279785,0.0,1.99609375
gg_1,34,0.023591041564941406,0.0,1.99609375
gg_1,35,0.028138399124145508,0.0,1.94921875
gg_1,36,0.02785801887512207,0.0,1.9609375
gg_1,37,0.02768731117248535,0.0,1.95703125
gg_1,38,0.02734684944152832,0.0,1.9609375
gg_1,39,0.030172348022460938,0.0,2.0
gg_1,40,0.02875351905822754,0.0,2.0
gg_1,41,0.02665877342224121,0.0,1.9609375
gg_1,42,0.02611708641052246,0.0,1.9609375
gg_1,43,0.026973485946655273,0.0,1.9609375
gg_1,44,0.03161883354187012,0.0,2.0
gg_1,45,0.025249481201171875,0.0,1.9609375
gg_1,46,0.026068687438964844,0.0,1.94921875
gg_1,47,0.027165889739990234,0.0,1.953125
gg_1,48,0.018305540084838867,0.0,1.94140625
gg_1,49,0.01875162124633789,0.0,1.953125
gg_1,50,0.026339292526245117,0.0,1.94921875
gg_2,1,0.024225950241088867,0.0,1.99609375
gg_2,2,0.02463388442993164,0.0,2.0
